Session,Character,Success Rate (%)
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,3d48653b,16.525000000000002
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,3431f6f9,25.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,37f909c7,22.724999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,12ed2e2d,22.025
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,a9e7feac,25.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d6edb621,9.225
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,8769b534,8.024999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,3b3df1d8,59.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,bf3a9c7b,47.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,fb35981b,26.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,66aaaabd,16.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,e98003df,94.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,f3da280c,30.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,19616ced,37.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,a877e5b5,32.025000000000006
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,64c2a1e6,9.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,054b6b9e,10.424999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,25844ac8,43.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,9fd258a5,31.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #160,50.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c88d1bf4,7.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,87b921f9,37.525000000000006
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,ad721d36,78.22500000000001
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,4d8e11b8,24.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,18f5970c,7.525
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,7e7ef666,63.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,1f5e5c63,63.325
